committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADANS FOR ACCOUNTABLE GOVERNMENT,Independent Expenditure Committee,10.3,2025-02-14 00:00:00,Anedot,Baton Rouge,LA,70884,Fundraising Expenses,Credit Card Processing Fee
NEW DAY COLORADO FUND,527 Political Organization,10.3,2025-02-19 00:00:00,Anedot,New Orleans,LA,70112,Bank Fees,
COLORADO WAY FORWARD,527 Political Organization,73.0,2025-02-20 00:00:00,Usps,Denver,CO,80210,Office Equipment & Supplies,
NEW COLORADO PROMISE,Independent Expenditure Committee,3988.83,2025-02-20 00:00:00,"Dyce Communications, Llc",Dallas,TX,75254,Consultant & Professional Services,Reimbursements. See Non-Monetary Expenditures
NEW DAY COLORADO FUND,527 Political Organization,43.4,2025-02-20 00:00:00,Anedot,New Orleans,CO,70117,Bank Fees,
NEW DAY COLORADO FUND,527 Political Organization,206.25,2025-02-20 00:00:00,Charity Meinhart Design,Grand Junction,CO,81506,Consultant & Professional Services,Graphic Design
CENTENNIAL VALUES,Independent Expenditure Committee,250.0,2025-02-21 00:00:00,"Polestar, Inc.",Denver,CO,80202,Consultant & Professional Services,Monthly Consulting Fee
COLORADO DEMOCRACY PROJECT,Independent Expenditure Committee,250.0,2025-02-21 00:00:00,"Polestar, Inc.",Denver,CO,80202,Consultant & Professional Services,Monthly Consulting Fee
MONTROSE REPUBLICAN WOMEN,527 Political Organization,101.4,2025-02-21 00:00:00,Kerri  Catlin,Montrose,CO,81403,Office Equipment & Supplies,Office Depot -Envelopes And Thank You Notes; Reimbursement To Kerri Catlin
MONTROSE REPUBLICAN WOMEN,527 Political Organization,250.0,2025-02-21 00:00:00,Hampton Inn,Montrose,CO,81401,Rent & Utilities,Feb & March 2025 Room Rental & Coffee Service
STRONG COLORADO IEC,Independent Expenditure Committee,1000.0,2025-02-21 00:00:00,One Stop Graphics,Loveland,CO,80538,Consultant & Professional Services,
VOTERS FOR COLORADO'S FUTURE,Independent Expenditure Committee,250.0,2025-02-21 00:00:00,"Polestar, Inc.",Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
BRIGHTER COLORADO FUTURES 527,527 Political Organization,1.0,2025-02-24 00:00:00,Brighter Lakewood Futures,Lakewood,CO,80226,Contributions,
COLORADANS CREATING OPPORTUNITIES,Independent Expenditure Committee,25.0,2025-02-24 00:00:00,Colorado Secretary Of State,Denver,CO,80290,Other,Periodic Fee
NEW COLORADO PROMISE,Independent Expenditure Committee,40.3,2025-02-24 00:00:00,Anedot,New Orleans,LA,70112,Fundraising Expenses,Merchant Fee
BALANCING THE ROCKIES,Independent Expenditure Committee,5.01,2025-02-25 00:00:00,Square,San Francisco,CA,94103,Bank Fees,Processing Fees
RED MAJORITY COLORADO,Independent Expenditure Committee,1.0,2025-02-25 00:00:00,"Anedot, Inc",New Orleans,LA,70112,Fundraising Expenses,
NEW COLORADO PROMISE,Independent Expenditure Committee,2054.0,2025-02-26 00:00:00,Twelve20 Web Creations,Littleton,CO,80125,Consultant & Professional Services,Website Hosting And Development
NEW COLORADO PROMISE,Independent Expenditure Committee,3000.0,2025-02-26 00:00:00,"Dyce Communications, Llc",Dallas,TX,75254,Consultant & Professional Services,Communications Consulting
NEW DAY COLORADO FUND,527 Political Organization,107.5,2025-02-26 00:00:00,Wizbang Solutions Inc,Commerce City,CO,80022,Office Equipment & Supplies,Donation Envelopes
NEW DAY COLORADO FUND,527 Political Organization,4000.0,2025-02-26 00:00:00,Campbell Killen Brittan & Ray Llc,Denver,CO,80206,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,41.27,2025-02-27 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
ALL TOGETHER COLORADO,527 Political Organization,2.0,2025-02-28 00:00:00,,,,,Bank Fees,
ALL TOGETHER COLORADO,Independent Expenditure Committee,6.0,2025-02-28 00:00:00,,,,,Bank Fees,
BALANCING THE ROCKIES,Independent Expenditure Committee,2.0,2025-02-28 00:00:00,Independent Financial,Greenwood Village,CO,80111,Bank Fees,Bank Fee
BLUEFLOWER ACTION,Independent Expenditure Committee,2.0,2025-02-28 00:00:00,,,,,Bank Fees,
BRIGHTER COLORADO FUTURES 527,527 Political Organization,12.0,2025-02-28 00:00:00,First Bank,Lakewood,CO,80215,Bank Fees,
